# =========================================================================
# گزارش کانال‌های غیرفعال تلگرام (عدم انتشار پروکسی در بیش از 7 روز اخیر)
# تاریخ بروزرسانی: 2026-09-01 07:35:33 UTC
# تعداد کل کانال‌های غیرفعال: 87
# =========================================================================

@iProxy                    | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@canfing_vpn               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@club_profsor              | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@cooonfig                  | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@famoushaji                | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@father_vpn                | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@filter_breaker            | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@free_fastvpn              | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@freenet_vt                | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@freev2config              | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@glypex                    | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@go_vpns                   | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@gozarnetir                | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@habsiop                   | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@hacknashidd               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@hokm_akhar                | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@i10vpn                    | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@imtproto                  | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@iphone02016vpn            | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@irancpi_vpn               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@isprox                    | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@ivpn26                    | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@khosrow_vpn               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@king_network7             | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@kw1vpn                    | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@lagvpn                    | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@llfreak                   | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@matinsenpaii              | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@maznet                    | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@mypremium98               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@netaccount                | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@our_time_is_now           | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@pathtoarrive              | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@pewezavpn                 | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@proxygodratmand           | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@proxymmdfreak             | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@rahgozar94725_ip          | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@saministamm               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@samnetinternet            | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@shadowsocks_s             | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@sinavm                    | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@tikvpnir                  | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@v2freehub                 | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@v2ray20261                | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@v2ray_tz                  | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@v2rayenglish              | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@varkana0                  | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@vaslbashi                 | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@vpn_king_v2ray            | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@vpn_m2s                   | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@vpn_sky                   | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@wiki_tajrobe              | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@wpnfa                     | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@xsfilternet               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@xv2ray                    | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@yebekhe                   | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@zede_filteri              | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@speeds_vpn1               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@irfreeproxy               | ⏳ 152 روز بدون پروکسی جدید | آخرین پروکسی: 2026-04-01 13:56 UTC
@iranproxyplus             | ⏳ 83 روز بدون پروکسی جدید | آخرین پروکسی: 2026-06-09 18:52 UTC
@v2raybazi                 | ⏳ 50 روز بدون پروکسی جدید | آخرین پروکسی: 2026-07-12 08:24 UTC
@net_cir                   | ⏳ 43 روز بدون پروکسی جدید | آخرین پروکسی: 2026-07-19 09:49 UTC
@theanixy                  | ⏳ 41 روز بدون پروکسی جدید | آخرین پروکسی: 2026-07-21 08:35 UTC
@lx3vpn                    | ⏳ 16 روز بدون پروکسی جدید | آخرین پروکسی: 2026-08-15 19:27 UTC
@configraygan              | ⏳ 10 روز بدون پروکسی جدید | آخرین پروکسی: 2026-08-21 09:52 UTC
